	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
MyD88 deficiency_MYD88_AR	MyD88 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	AR	602170	MYD88	MYD88	4615	Bacterial infections (pyogens)	Normal	Normal	Normal	Normal	Lymphocytes + Granulocytes+ Monocytes	[]	['hsa04010  MAPK signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04936  Alcoholic liver disease', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05133  Pertussis', 'hsa05134  Legionellosis', 'hsa05135  Yersinia infection', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05143  African trypanosomiasis', 'hsa05144  Malaria', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05417  Lipid and atherosclerosis']	['HP:0000007', 'HP:0002718', 'HP:0002715']
TIRAP deficiency_TIRAP_AR	TIRAP deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	AR	614382	TIRAP	TIRAP	114609	Staphylococcal disease during childhood	Normal	Normal	Normal	Normal	Lymphocytes + Granulocytes+ Monocytes	[]	['hsa04064  NF-kappa B signaling pathway', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04936  Alcoholic liver disease', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05132  Salmonella infection', 'hsa05133  Pertussis', 'hsa05152  Tuberculosis', 'hsa05161  Hepatitis B', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05417  Lipid and atherosclerosis']	['HP:0000007', 'HP:0002718', 'HP:0002715']
TLR8 disease_TLR8_XL GOF	TLR8 disease	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	XL GOF		TLR8	TLR8	51311	Infections, lymphoproliferation, hepatosplenomegaly, lymphadenopathy.  Infectious susceptibility, BM failure. Severe chronic AIHA (post-infections), progressive autoinflammatory disease. Proinﬂammatory phenotype with activated T cells, elevated serum cytokines associated with impaired B-cell maturation	Normal	Altered maturation	Normal to increased	Neutropenia	Low pDC	['Enpatoran: D12261', 'Motolimod: D10716', 'Selgantolimod: D11871']	['hsa04613  Neutrophil extracellular trap formation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0010702', 'HP:0002960', 'HP:0001890', 'HP:0001903', 'HP:0001433', 'HP:0001417', 'HP:0002716', 'HP:0001878']
Trypanosomiasis susceptibility_APOL1_AD	Trypanosomiasis susceptibility	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AD	603743	APOL1	APOL1	8542	Trypanosomiasis	Normal	Normal	Normal	Normal	nan	[]	['hsa05143  African trypanosomiasis']	['HP:0000006', 'HP:0002715']
CLCN7 deficiency associated osteopetrosis_CLCN7_AR	CLCN7 deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	602727	CLCN7	CLCN7	1186	Osteopetrosis with hypocalcemia, neurologic features	nan	nan	nan	nan	Osteoclasts	[]	[]	['HP:0002901', 'HP:0011002', 'HP:0000007', 'HP:0002715']
Isolated congenital asplenia (ICA) due to HMOX deficiency_HMOX_AR	Isolated congenital asplenia (ICA) due to HMOX deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	141250	HMOX	HMOX1	3162	Hemolysis, nephritis, inflammation	Normal	Normal	Normal	Normal	No spleen, Macrophages	['Stannsoporfin: D05922']	['hsa00860  Porphyrin metabolism', 'hsa01100  Metabolic pathways', 'hsa04066  HIF-1 signaling pathway', 'hsa04216  Ferroptosis', 'hsa04978  Mineral absorption', 'hsa05200  Pathways in cancer', 'hsa05206  MicroRNAs in cancer', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05225  Hepatocellular carcinoma', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0001746', 'HP:0000007', 'HP:0000123', 'HP:0002715']
Acute liver failure due to NBAS deficiency_NBAS_AR	Acute liver failure due to NBAS deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	608025	NBAS	NBAS	51594	Fever induces liver failure	Normal	Normal	Normal	Normal	Somatic and hematopoietic	[]	[]	['HP:0002715', 'HP:0000007', 'HP:0006554', 'HP:0001945', 'HP:0001399']
NCSTN deficiency hidradenitis suppurativa_NCSTN_AD	NCSTN deficiency hidradenitis suppurativa	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AD	605254	NCSTN	NCSTN	23385	Hidradenitis suppurativa with acne	Normal	Normal	Normal	Normal	Epidermis	['Avagacestat: D09869', 'Begacestat: D08869', 'Crenigacestat: D11151', 'Nirogacestat (DG03016): D10960 D11453', 'Osugacestat: D12235', 'Semagacestat: D09377', 'Tarenflurbil: D09010']	['hsa04330  Notch signaling pathway', 'hsa05010  Alzheimer disease']	['HP:0040154', 'HP:0000006', 'HP:0002715', 'HP:0001061']
OSTM1 deficiency associated osteopetrosis_OSTM1_AR	OSTM1 deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	   607649	OSTM1	OSTM1	28962	Osteopetrosis with hypocalcemia, neurologic features	nan	nan	nan	nan	Osteoclasts	[]	[]	['HP:0002901', 'HP:0011002', 'HP:0000007', 'HP:0002715']
PLEKHM1 deficiency associated osteopetrosis_PLEKHM1_AR	PLEKHM1 deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	  611466	PLEKHM1	PLEKHM1	9842	Osteopetrosis	nan	nan	nan	nan	Osteoclasts	[]	['hsa05132  Salmonella infection']	['HP:0011002', 'HP:0000007', 'HP:0002715']
PSEN deficiency hidradenitis suppurativa_PSEN_AD	PSEN deficiency hidradenitis suppurativa	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AD	104311	PSEN	PSEN1	5663	Hidradenitis suppurative with cutaneous hyperpigmentation	Normal	Normal	Normal	Normal	Epidermis	['Avagacestat: D09869', 'Begacestat: D08869', 'Crenigacestat: D11151', 'Nirogacestat (DG03016): D10960 D11453', 'Osugacestat: D12235', 'Semagacestat: D09377', 'Tarenflurbil: D09010']	['hsa04310  Wnt signaling pathway', 'hsa04330  Notch signaling pathway', 'hsa04722  Neurotrophin signaling pathway', 'hsa05010  Alzheimer disease', 'hsa05022  Pathways of neurodegeneration - multiple diseases', 'hsa05165  Human papillomavirus infection']	['HP:0040154', 'HP:0000006', 'HP:0000953', 'HP:0002715']
PSENEN deficiency hidradenitis suppurativa_PSENEN_AD	PSENEN deficiency hidradenitis suppurativa	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AD	607632	PSENEN	PSENEN	55851	Hidradenitis suppurativa	Normal	Normal	Normal	Normal	Epidermis	['Avagacestat: D09869', 'Begacestat: D08869', 'Crenigacestat: D11151', 'Nirogacestat (DG03016): D10960 D11453', 'Osugacestat: D12235', 'Semagacestat: D09377', 'Tarenflurbil: D09010']	['hsa04330  Notch signaling pathway', 'hsa05010  Alzheimer disease']	['HP:0040154', 'HP:0000006', 'HP:0002715']
Acute necrotizing encephalopathy_RANBP2_AD	Acute necrotizing encephalopathy	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AD	601181	RANBP2	RANBP2	5903	Fever induces acute encephalopathy	Normal	Normal	Normal	Normal	Ubiquitous expression	[]	['hsa03013  Nucleocytoplasmic transport', 'hsa03250  Viral life cycle - HIV-1', 'hsa05014  Amyotrophic lateral sclerosis']	['HP:0000006', 'HP:0002715', 'HP:0006965', 'HP:0001298', 'HP:0001945', 'HP:0006846']
Isolated congenital asplenia (ICA) due to RPSA deficiency_RPSA_AD	Isolated congenital asplenia (ICA) due to RPSA deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AD	271400	RPSA	RPSA	3921	Bacteremia (encapsulated bacteria)	Normal	Normal	Normal	Normal	No spleen	[]	['hsa03010  Ribosome', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000006', 'HP:0001746', 'HP:0002715', 'HP:0031864']
SNX10 deficiency associated osteopetrosis_SNX10_AR	SNX10 deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	  614780	SNX10	SNX10	29887	Osteopetrosis with visual impairment	nan	nan	nan	nan	Osteoclasts	[]	[]	['HP:0011002', 'HP:0000007', 'HP:0002715', 'HP:0000505']
TCIRG1 deficiency associated osteopetrosis_TCIRG1_AR	TCIRG1 deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	604592	TCIRG1	TCIRG1	10312	Osteopetrosis with hypocalcemia	nan	nan	nan	nan	Osteoclasts	[]	['hsa00190  Oxidative phosphorylation', 'hsa01100  Metabolic pathways', 'hsa04142  Lysosome', 'hsa04145  Phagosome', 'hsa04721  Synaptic vesicle cycle', 'hsa04966  Collecting duct acid secretion', 'hsa05110  Vibrio cholerae infection', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05152  Tuberculosis', 'hsa05165  Human papillomavirus infection', 'hsa05323  Rheumatoid arthritis']	['HP:0002901', 'HP:0011002', 'HP:0000007', 'HP:0002715']
TNFRSF11A deficiency associated osteopetrosis_TNFRSF11A_AR	TNFRSF11A deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	  603499	TNFRSF11A	TNFRSF11A	8792	Osteopetrosis	nan	nan	nan	nan	Osteoclasts	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04064  NF-kappa B signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04917  Prolactin signaling pathway', 'hsa05323  Rheumatoid arthritis']	['HP:0011002', 'HP:0000007', 'HP:0002715']
TNFSF11 deficiency associated osteopetrosis_TNFSF11_AR	TNFSF11 deficiency associated osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	AR	602642	TNFSF11	TNFSF11	8600	Osteopetrosis with severe growth retardation	nan	nan	nan	nan	Stromal	['Denosumab: D03684<JP/US>']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04064  NF-kappa B signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04917  Prolactin signaling pathway', 'hsa04928  Parathyroid hormone synthesis, secretion and action', 'hsa05207  Chemical carcinogenesis - receptor activation', 'hsa05224  Breast cancer', 'hsa05323  Rheumatoid arthritis']	['HP:0011002', 'HP:0000007', 'HP:0002715', 'HP:0001510']
IL-18BP deficiency_IL18BP_AR	IL-18BP deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 9  Other inborn errors of immunity related to leukocytes	AR		IL18BP	IL18BP	10068	Fulminant viral hepatitis	nan	nan	nan	nan	nan	[]	[]	['HP:0006562', 'HP:0000007', 'HP:0012115', 'HP:0002715']
IRF4 haplo-insufficiency_IRF4_AD	IRF4 haplo-insufficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 9  Other inborn errors of immunity related to leukocytes	AD		IRF4	IRF4	3662	Whipple’s disease	nan	nan	nan	nan	nan	[]	['hsa04659  Th17 cell differentiation']	['HP:0000006', 'HP:0002715']
Spondyloenchondro-dysplasia with immune dysregulation (SPENCD)_ACP5_AR	Spondyloenchondro-dysplasia with immune dysregulation (SPENCD)	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	171640	ACP5	ACP5	54	Short stature, SP, ICC, SLE, thrombocytopenia and autoimmune hemolytic anemia, possibly recurrent bacterial and viral infections	nan	nan	nan	nan	nan	[]	['hsa00740  Riboflavin metabolism', 'hsa01100  Metabolic pathways', 'hsa04142  Lysosome', 'hsa04380  Osteoclast differentiation', 'hsa05323  Rheumatoid arthritis']	['HP:0004322', 'HP:0002960', 'HP:0001257', 'HP:0001903', 'HP:0000007', 'HP:0002721', 'HP:0001973', 'HP:0001873', 'HP:0001878', 'HP:0002313', 'HP:0002385', 'HP:0002514', 'HP:0001890']
ADA2 deficiency_ADA2_AR	ADA2 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	607575	ADA2	ADA2	51816	Polyarteritis nodosa, childhood-onset, early-onset recurrent ischemic stroke and fever	nan	nan	nan	nan	nan	[]	['hsa00230  Purine metabolism', 'hsa01100  Metabolic pathways', 'hsa01232  Nucleotide metabolism']	['HP:0002715', 'HP:0000007', 'HP:0002140', 'HP:0001945', 'HP:0001297', 'HP:0002633']
ADAR1 deficiency, AGS6_ADAR_AR	ADAR1 deficiency, AGS6	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	146920	ADAR1	ADAR	103	Classical AGS, BSN, SP	Normal	Normal	Normal	Normal	nan	[]	['hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0001257', 'HP:0000007', 'HP:0002721', 'HP:0002313', 'HP:0002385', 'HP:0002514']
ATAD3A deficiency_ATAD3A_AD (1 AR)	ATAD3A deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AD (1 AR)		ATAD3A	ATAD3A	55210	Predominantly neuro defects (development delay, spasticity), elevated ISG expression, increased serum type 1 IFNs	nan	nan	nan	nan	nan	[]	[]	['HP:0000006', 'HP:0000007', 'HP:0001263', 'HP:0001257']
C2orf69 deficiency_C2orf69_AR	C2orf69 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR		C2orf69	C2orf69	205327	"Brain abnormalities (hypomyelination, microcephaly), liver dysfunction,
severe and recurrent autoinflammation, leukoencephalopathy with recurrent seizures. Often fatal"	nan	nan	nan	nan	nan	[]	[]	['HP:0002352', 'HP:0000007', 'HP:0001250', 'HP:0000252', 'HP:0012443', 'HP:0001410']
CDC42 defects_CDC42_AD	CDC42 defects	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AD		CDC42	CDC42	998	Neonatal onset pancytopenia, fever, rash, HSM, HLH, myelofibrosis, developemntal delay, FTT.  Recognized mutation-phenotype associations	Variable T cell counts	Variable	Variable	nan	Low NK function	[]	['hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04015  Rap1 signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04144  Endocytosis', 'hsa04360  Axon guidance', 'hsa04370  VEGF signaling pathway', 'hsa04510  Focal adhesion', 'hsa04520  Adherens junction', 'hsa04530  Tight junction', 'hsa04660  T cell receptor signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa04670  Leukocyte transendothelial migration', 'hsa04722  Neurotrophin signaling pathway', 'hsa04810  Regulation of actin cytoskeleton', 'hsa04912  GnRH signaling pathway', 'hsa04932  Non-alcoholic fatty liver disease', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa05100  Bacterial invasion of epithelial cells', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05165  Human papillomavirus infection', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05205  Proteoglycans in cancer', 'hsa05211  Renal cell carcinoma', 'hsa05212  Pancreatic cancer', 'hsa05417  Lipid and atherosclerosis']	['HP:0000006', 'HP:0001508', 'HP:0011974', 'HP:0002721', 'HP:0001263', 'HP:0001945', 'HP:0000988', 'HP:0001433', 'HP:0001876', 'HP:0002514']
DNASE1L3 deficiency_DNASE1L3_AR	DNASE1L3 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	602244	DNASE1L3	DNASE1L3	1776	Systemic lupus erythematosus, lupus nephritis, hypocomplementemic urticarial vasculitis	nan	nan	nan	nan	nan	[]	[]	['HP:0002725', 'HP:0000007', 'HP:0002721', 'HP:0033726', 'HP:0002633', 'HP:0000123', 'HP:0002514']
DNASE2 deficiency_DNASE2_AR	DNASE2 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	126350	DNASE2	DNASE2	1777	Glomerulonephritis, arthropathy, vasculitis	nan	nan	nan	nan	nan	[]	['hsa04142  Lysosome', 'hsa04623  Cytosolic DNA-sensing pathway']	['HP:0003040', 'HP:0000007', 'HP:0002721', 'HP:0002633', 'HP:0000099', 'HP:0002514']
Aicardi-Goutieres syndrome 7 (AGS7)_IFIH1_AD GOF	Aicardi-Goutieres syndrome 7 (AGS7)	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AD GOF	606951	IFIH1	IFIH1	64135	Classical AGS, SLE, SP, SMS	Normal	Normal	Normal	Normal	nan	[]	['hsa04622  RIG-I-like receptor signaling pathway', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000006', 'HP:0001257', 'HP:0002721', 'HP:0002313', 'HP:0002385', 'HP:0002514']
LSM11 deficiency_LSM11_AR	LSM11 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR		LSM11	LSM11	134353	Classical AGS, SLE, FCL	nan	nan	nan	nan	nan	[]	[]	['HP:0000007', 'HP:0009710', 'HP:0002514', 'HP:0002721']
OAS1 GOF_OAS1_AD GOF	OAS1 GOF	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AD GOF	164350	OAS1	OAS1	4938	Pulmonary alveolar proteinosis, skin rash	nan	nan	nan	nan	nan	[]	['hsa04621  NOD-like receptor signaling pathway', 'hsa05160  Hepatitis C', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000006', 'HP:0002721', 'HP:0000988', 'HP:0006517', 'HP:0002514']
RNASEH2A deficiency, AGS4_RNASEH2A_AR	RNASEH2A deficiency, AGS4	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	606034	RNASEH2A	RNASEH2A	10535	Classical AGS	Normal	Normal	Normal	Normal	nan	[]	['hsa03030  DNA replication']	['HP:0000007', 'HP:0002514', 'HP:0002721']
RNASEH2B deficiency, AGS2_RNASEH2B_AR	RNASEH2B deficiency, AGS2	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	610326	RNASEH2B	RNASEH2B	79621	Classical AGS, SP	Normal	Normal	Normal	Normal	nan	[]	['hsa03030  DNA replication']	['HP:0001257', 'HP:0000007', 'HP:0002721', 'HP:0002313', 'HP:0002385', 'HP:0002514']
RNASEH2C deficiency, AGS3_RNASEH2C_AR	RNASEH2C deficiency, AGS3	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	610330	RNASEH2C	RNASEH2C	84153	Classical AGS	Normal	Normal	Normal	Normal	nan	[]	['hsa03030  DNA replication']	['HP:0000007', 'HP:0002514', 'HP:0002721']
RNU7-1 deficiency_RNU7-1_AR	RNU7-1 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR		RNU7-1	RNU7-1	100147744	Classical AGS, SLE, FCL	nan	nan	nan	nan	nan	[]	[]	['HP:0000007', 'HP:0009710', 'HP:0002514', 'HP:0002721']
SAMHD1 deficiency, AGS5_SAMHD1_AR	SAMHD1 deficiency, AGS5	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	606754	SAMHD1	SAMHD1	25939	Classical AGS, FCL	Normal	Normal	Normal	Normal	nan	[]	['hsa03250  Viral life cycle - HIV-1', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa05170  Human immunodeficiency virus 1 infection']	['HP:0000007', 'HP:0009710', 'HP:0002514', 'HP:0002721']
STAT2 R148 LOF/regulation (prevents binding to USP18)_STAT2_AR	STAT2 R148 LOF/regulation (prevents binding to USP18)	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR		STAT2	STAT2	6773	Severe fatal early onset autoinflammation (skin ulceration, fever, seizures, intracranial calcification, multiorgan dysfunction, abnormal neurodevelopment; phenocopy of USP18 deficiency). High serum IFN-α, IL6, TNF. IFN-opathy gene signature (impaired regulation of late cellular responses to type 1 IFN),	Variable	nan	Low to normal	nan	Variable NK counts	[]	['hsa04062  Chemokine signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer']	['HP:0001257', 'HP:0000007', 'HP:0001250', 'HP:0002721', 'HP:0001945', 'HP:0004313', 'HP:0012759', 'HP:0002313', 'HP:0002385', 'HP:0002514']
STING-like disease_STING1_AR GOF	STING-like disease	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR GOF		TMEM173	STING1	340061	Failure to thrive; early onset rash, fever, dyspnea, interstitial lung disease/pneumonitis, polyarthritis, autoAbs, clubbing. Increased inflammatory markers, IFN gene signature. Phenocopy of SAVI due to AD GOF TMEM173 variants.  2 patients succumbed; 4 successfully treated with JAK inhibitors	nan	nan	Increased	nan	nan	[]	['hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa05131  Shigellosis', 'hsa05163  Human cytomegalovirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0010702', 'HP:0001508', 'HP:0000007', 'HP:0002094', 'HP:0001945', 'HP:0000988', 'HP:0001217']
STING--associated vasculopathy, infantile-onset_STING1_AD GOF	STING--associated vasculopathy, infantile-onset	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AD GOF	612374	TMEM173	STING1	340061	Skin vasculopathy, inflammatory lung disease, systemic autoinflammation and ICC, FCL	nan	nan	nan	nan	nan	[]	['hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa05131  Shigellosis', 'hsa05163  Human cytomegalovirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000006', 'HP:0002088', 'HP:0002715', 'HP:0033428', 'HP:0009710', 'HP:0002633', 'HP:0002514']
TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)_TREX1_AR	TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	606609	TREX1	TREX1	11277	Classical AGS, SLE, FCL	Normal	Normal	Normal	Normal	nan	[]	['hsa04623  Cytosolic DNA-sensing pathway']	['HP:0000007', 'HP:0009710', 'HP:0002514', 'HP:0002721']
TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)_TREX1_AD	TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AD	606609	TREX1	TREX1	11277	Classical AGS, SLE, FCL	Normal	Normal	Normal	Normal	nan	[]	['hsa04623  Cytosolic DNA-sensing pathway']	['HP:0000006', 'HP:0009710', 'HP:0002514', 'HP:0002721']
USP18 deficiency_USP18_AR	USP18 deficiency	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	AR	607057	USP18	USP18	11274	TORCH like syndrome	nan	nan	nan	nan	nan	[]	[]	['HP:0000007', 'HP:0002514', 'HP:0002721']
Familial Mediterranean fever_MEFV_AR	Familial Mediterranean fever	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AR	249100	MEFV	MEFV	4210	Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease.	Normal	Normal	Normal	Normal	Mature granulocytes, cytokine-activated monocytes.	[]	['hsa04621  NOD-like receptor signaling pathway', 'hsa05135  Yersinia infection']	['HP:0001954', 'HP:0000007', 'HP:0002721', 'HP:0045073', 'HP:0002037', 'HP:0001945', 'HP:0002633']
Familial Mediterranean fever_MEFV_AD	Familial Mediterranean fever	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD	249100	MEFV	MEFV	4210	Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease. Usually M694del variant.	Normal	Normal	Normal	Normal	Mature granulocytes, cytokine-activated monocytes.	[]	['hsa04621  NOD-like receptor signaling pathway', 'hsa05135  Yersinia infection']	['HP:0001954', 'HP:0000006', 'HP:0002721', 'HP:0045073', 'HP:0002037', 'HP:0001945', 'HP:0002633']
Mevalonate kinase deficiency (Hyper IgD syndrome)_MVK_AR	Mevalonate kinase deficiency (Hyper IgD syndrome)	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AR	260920	MVK	MVK	4598	Periodic fever and leukocytosis with high IgD levels	Normal	Normal	Normal	Normal	Somatic and hemaotpoietic	[]	['hsa00900  Terpenoid backbone biosynthesis', 'hsa01100  Metabolic pathways', 'hsa04146  Peroxisome']	['HP:0001954', 'HP:0001974', 'HP:0000007', 'HP:0002721', 'HP:0032323', 'HP:0001945']
